;buy_x;buy_y;sell_x;sell_y;hr;buy_spread;sell_spread;buy_investment;sell_investment;buyZScore;sellZScore;long_entry;long_exit;num_units_long;short_entry;short_exit;num_units_short;numUnits;transaction;positionSwitch;tradecosts;hr_memory;invest_memory;buy_spread_memory;sell_spread_memory;buy_spread_memory_pos_switch;sell_spread_memory_pos_switch;buy_spread_pct_ch;sell_spread_pct_ch;port_rets;cum rets;;;;
25.07.18 13:40;16,5010742;105,2083333;16,5010742;105,2083333;5,704;11,0862061;11,0862061;199,3304606;199,3304606;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,704;199,3304606;11,0862061;11,0862061;;;;;0;1;FALSE;FALSE;0;0
25.07.18 13:44;16,52681387;105,65;16,52681387;105,65;5,891333333;8,285030574;8,285030574;203,0149694;203,0149694;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,891333333;203,0149694;8,285030574;8,285030574;11,3810537;11,3810537;-0,013797877;-0,013797877;0;1;FALSE;FALSE;0;0
25.07.18 13:48;16,53518684;105,5475;16,53518684;105,5475;5,95875;7,018455432;7,018455432;204,0765446;204,0765446;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,95875;204,0765446;7,018455432;7,018455432;8,133202611;8,133202611;-0,006206373;-0,006206373;0;1;FALSE;FALSE;0;0
25.07.18 13:52;16,5316856;105,4875;16,5316856;105,4875;5,987;6,512298313;6,512298313;204,4627017;204,4627017;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,987;204,4627017;6,512298313;6,512298313;6,979318431;6,979318431;-0,002475547;-0,002475547;0;1;FALSE;FALSE;0;0
25.07.18 13:56;16,5375784;105,14;16,5375784;105,14;5,994;6,01375507;6,01375507;204,2662449;204,2662449;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,994;204,2662449;6,01375507;6,01375507;6,129518119;6,129518119;-0,002440654;-0,002440654;0;1;FALSE;FALSE;0;0
25.07.18 14:00;16,5425274;104,97;16,5425274;104,97;5,997;5,764463182;5,764463182;204,1755368;204,1755368;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,997;204,1755368;5,764463182;5,764463182;5,814090764;5,814090764;-0,001220968;-0,001220968;0;1;FALSE;FALSE;0;0
25.07.18 14:04;16,54777702;105,0233333;16,54777702;105,0233333;5,998666667;5,758734936;5,758734936;204,2879317;204,2879317;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,998666667;204,2879317;5,758734936;5,758734936;5,786314564;5,786314564;-2,80E-05;-2,80E-05;0;1;FALSE;FALSE;0;0
25.07.18 14:08;16,54879749;104,9725;16,54879749;104,9725;5,99775;5,716949869;5,716949869;204,2280501;204,2280501;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,99775;204,2280501;5,716949869;5,716949869;5,701780138;5,701780138;-0,0002046;-0,0002046;0;1;FALSE;FALSE;0;0
25.07.18 14:12;16,55683683;104,9225;16,55683683;104,9225;5,99475;5,668402443;5,668402443;204,1765976;204,1765976;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,99475;204,1765976;5,668402443;5,668402443;5,618731933;5,618731933;-0,000237772;-0,000237772;0;1;FALSE;FALSE;0;0
25.07.18 14:16;16,5552534;104,855;16,5552534;104,855;5,9915;5,664199254;5,664199254;204,0458007;204,0458007;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,9915;204,0458007;5,664199254;5,664199254;5,61039468;5,61039468;-2,06E-05;-2,06E-05;0;1;FALSE;FALSE;0;0
25.07.18 14:20;16,554405;104,92;16,554405;104,92;5,99;5,75911405;5,75911405;204,0808859;204,0808859;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,99;204,0808859;5,75911405;5,75911405;5,734282443;5,734282443;0,000465084;0,000465084;0;1;FALSE;FALSE;0;0
25.07.18 14:24;16,55973663;104,93;16,55973663;104,93;5,9885;5,762017221;5,762017221;204,0979828;204,0979828;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,9885;204,0979828;5,762017221;5,762017221;5,737177616;5,737177616;1,42E-05;1,42E-05;0;1;FALSE;FALSE;0;0
25.07.18 14:28;16,5532738;104,93;16,5532738;104,93;5,987;5,825549759;5,825549759;204,0344502;204,0344502;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,987;204,0344502;5,825549759;5,825549759;5,800719849;5,800719849;0,000311381;0,000311381;0;1;FALSE;FALSE;0;0
25.07.18 14:32;16,52400705;104,8747;16,52400705;104,8747;5,987;5,945469792;5,945469792;203,8039302;203,8039302;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,987;203,8039302;5,945469792;5,945469792;5,945469792;5,945469792;0,000588409;0,000588409;0;1;FALSE;FALSE;0;0
25.07.18 14:36;16,51850534;104,905;16,51850534;104,905;5,98725;6,004578918;6,004578918;203,8054211;203,8054211;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,98725;203,8054211;6,004578918;6,004578918;6,008708544;6,008708544;0,000290027;0,000290027;0;1;FALSE;FALSE;0;0
25.07.18 14:40;16,51395753;105,025;16,51395753;105,025;5,9895;6,114651404;6,114651404;203,9353486;203,9353486;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,9895;203,9353486;6,114651404;6,114651404;6,151807808;6,151807808;0,000539742;0,000539742;0;1;FALSE;FALSE;0;0
25.07.18 14:44;16,5120173;105,1666667;16,5120173;105,1666667;5,992333333;6,221154999;6,221154999;204,1121783;204,1121783;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,992333333;204,1121783;6,221154999;6,221154999;6,267939048;6,267939048;0,00052179;0,00052179;0;1;FALSE;FALSE;0;0
25.07.18 14:48;16,49237385;105,34125;16,49237385;105,34125;5,99875;6,407622367;6,407622367;204,2748776;204,2748776;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;5,99875;204,2748776;6,407622367;6,407622367;6,513448433;6,513448433;0,000912826;0,000912826;0;1;FALSE;FALSE;0;0
25.07.18 14:52;16,4525019;105,26;16,4525019;105,26;6,00975;6,384576706;6,384576706;204,1354233;204,1354233;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,00975;204,1354233;6,384576706;6,384576706;6,565554227;6,565554227;-0,000112894;-0,000112894;0;1;FALSE;FALSE;0;0
25.07.18 14:56;16,44208791;105,005;16,44208791;105,005;6,01725;6,068846509;6,068846509;203,9411535;203,9411535;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,01725;203,9411535;6,068846509;6,068846509;6,192162168;6,192162168;-0,001548144;-0,001548144;0;1;FALSE;FALSE;0;0
26.07.18 13:36;16,4242032;105,59;16,4242032;105,59;6,021;6,699872533;6,699872533;204,4801275;204,4801275;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,021;204,4801275;6,699872533;6,699872533;6,761463295;6,761463295;0,003086002;0,003086002;0;1;FALSE;FALSE;0;0
26.07.18 13:40;16,44730823;105,8225;16,44730823;105,8225;6,03;6,645231403;6,645231403;204,9997686;204,9997686;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,03;204,9997686;6,645231403;6,645231403;6,793257177;6,793257177;-0,000266542;-0,000266542;0;1;FALSE;FALSE;0;0
26.07.18 13:44;16,49590175;105,9375;16,49590175;105,9375;6,04175;6,273385602;6,273385602;205,6016144;205,6016144;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,04175;205,6016144;6,273385602;6,273385602;6,467212447;6,467212447;-0,001808574;-0,001808574;0;1;FALSE;FALSE;0;0
26.07.18 13:48;16,44823605;105,79;16,44823605;105,79;6,05;6,278171897;6,278171897;205,3018281;205,3018281;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,05;205,3018281;6,278171897;6,278171897;6,413869845;6,413869845;2,33E-05;2,33E-05;0;1;FALSE;FALSE;0;0
26.07.18 13:52;16,43380251;105,71375;16,43380251;105,71375;6,0575;6,165991281;6,165991281;205,2615087;205,2615087;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,0575;205,2615087;6,165991281;6,165991281;6,289244799;6,289244799;-0,000546525;-0,000546525;0;1;FALSE;FALSE;0;0
26.07.18 13:56;16,43935912;105,91;16,43935912;105,91;6,063;6,238165676;6,238165676;205,5818343;205,5818343;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,063;205,5818343;6,238165676;6,238165676;6,328582151;6,328582151;0,000351074;0,000351074;0;1;FALSE;FALSE;0;0
26.07.18 14:00;16,45661975;105,97;16,45661975;105,97;6,06825;6,107117202;6,107117202;205,8328828;205,8328828;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,06825;205,8328828;6,107117202;6,107117202;6,193514456;6,193514456;-0,000636674;-0,000636674;0;1;FALSE;FALSE;0;0
26.07.18 14:04;16,42382625;105,77;16,42382625;105,77;6,0715;6,052738923;6,052738923;205,4872611;205,4872611;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,0715;205,4872611;6,052738923;6,052738923;6,106116358;6,106116358;-0,000264631;-0,000264631;0;1;FALSE;FALSE;0;0
26.07.18 14:08;16,40684741;105,6831;16,40684741;105,6831;6,07425;6,023807105;6,023807105;205,3423929;205,3423929;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,07425;205,3423929;6,023807105;6,023807105;6,068925935;6,068925935;-0,000140895;-0,000140895;0;1;FALSE;FALSE;0;0
26.07.18 14:12;16,41276114;105,525;16,41276114;105,525;6,076;5,801063329;5,801063329;205,2489367;205,2489367;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,076;205,2489367;5,801063329;5,801063329;5,829785661;5,829785661;-0,001085237;-0,001085237;0;1;FALSE;FALSE;0;0
26.07.18 14:16;16,41694195;105,5294333;16,41694195;105,5294333;6,074666667;5,801983301;5,801983301;205,2568834;205,2568834;;;FALSE;FALSE;0;FALSE;FALSE;0;0;FALSE;FALSE;0;6,074666667;205,2568834;5,801983301;5,801983301;5,780094045;5,780094045;4,48E-06;4,48E-06;0;1;FALSE;FALSE;0;0
